k,inertia,silhouette
2,15275.099438584633,0.24953243977715667
3,12582.371395929506,0.26873430671089804
4,10494.179664869474,0.2905043420425075
5,8937.27139966935,0.27858686946272826
6,7800.749156569447,0.3023461494427433
7,6903.583354443826,0.31637418128714123
8,6203.542902829314,0.32315776219613895
9,5699.88415948796,0.33220441648391674
10,5227.133909273331,0.3546088846976893
