k,inertia,silhouette
2,12433.2304903133,0.29932989127106036
3,9750.682917038761,0.3275396156382464
4,7660.279747105281,0.3597346181498584
5,6098.45166766818,0.3688209160585745
6,5141.776115691011,0.3875353142287053
7,4639.575279666928,0.3982107137109212
8,4165.833752316809,0.3485941366846227
9,3812.0276828099904,0.3746140249130316
10,3490.9838654243554,0.35900570608949667
