metric,value
active_relationships_wave1,2862.0
mean_relationship_duration_years,21.55
median_relationship_duration_years,18.08
married_count,2085.0
partnered_not_married_count,777.0
cohabiting_yes_count,2387.0
same_sex_couple_count,308.0
excellent_quality_count,1706.0
good_quality_count,884.0
