w1_q24_met_online,w1_ppage,w1_ppgender,w1_ppeduc,w1_ppincimp,w1_ppethm,w1_ppwork,w1_married,w1_same_sex_couple_raw,w1_relate_duration_in2017_years,w1_q34,still_together_w3,w1_weight_combo
0.0,46.0,Male,Masters degree,"$250,000 or more","Other, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,19.16666603088379,Excellent,0.0,1.3549860715866089
0.0,61.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$75,000 to $84,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,36.58333206176758,Good,1.0,1.041540265083313
0.0,65.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Hispanic,Not working - retired,1.0,NOT same-sex souple,18.08333396911621,Excellent,1.0,1.172142744064331
0.0,38.0,Female,Bachelors degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,13.333333015441896,Good,1.0,1.1213717460632324
0.0,61.0,Male,Professional or Doctorate degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,34.75,Excellent,1.0,0.8049858808517456
0.0,66.0,Male,Bachelors degree,"$75,000 to $84,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,45.33333206176758,Excellent,1.0,0.820703387260437
0.0,64.0,Female,Bachelors degree,"$60,000 to $74,999","2+ Races, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,39.91666793823242,Fair,1.0,0.3421670794486999
0.0,60.0,Male,Associate degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,42.58333206176758,Excellent,1.0,0.9077717065811156
0.0,71.0,Female,Masters degree,"$100,000 to $124,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,38.16666793823242,Good,1.0,0.2210379540920257
0.0,60.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$150,000 to $174,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,40.25,Excellent,1.0,0.9930307865142822
0.0,56.0,Female,Bachelors degree,"$125,000 to $149,999","White, Non-Hispanic",Not working - looking for work,1.0,NOT same-sex souple,11.5,Excellent,0.0,0.9731294512748718
0.0,57.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$25,000 to $29,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,39.08333206176758,Excellent,1.0,1.069469928741455
0.0,34.0,Female,Bachelors degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,8.166666984558105,Excellent,1.0,1.142629861831665
0.0,58.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$125,000 to $149,999","White, Non-Hispanic",Not working - disabled,1.0,NOT same-sex souple,30.25,Good,1.0,1.051264762878418
0.0,73.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$100,000 to $124,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,57.83333206176758,Excellent,1.0,0.8908103704452515
0.0,72.0,Female,"Some college, no degree","$40,000 to $49,999","White, Non-Hispanic",Not working - retired,0.0,NOT same-sex souple,51.58333206176758,Excellent,0.0,0.7725331783294678
0.0,29.0,Female,Bachelors degree,"$75,000 to $84,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,5.166666507720947,Excellent,1.0,1.113117218017578
0.0,65.0,Female,"Some college, no degree","$50,000 to $59,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,36.75,Excellent,1.0,0.8472762107849121
0.0,64.0,Male,Masters degree,"$125,000 to $149,999",Hispanic,Not working - retired,1.0,NOT same-sex souple,38.83333206176758,Excellent,1.0,1.039165735244751
0.0,36.0,Male,12th grade NO DIPLOMA,"$25,000 to $29,999","Other, Non-Hispanic",Working - self-employed,0.0,NOT same-sex souple,1.6666666269302368,Fair,1.0,2.3930211067199707
0.0,50.0,Male,"Some college, no degree","$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,27.83333396911621,Good,1.0,0.954698085784912
1.0,53.0,Female,Associate degree,"$50,000 to $59,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,1.3333333730697632,Good,1.0,1.04493248462677
0.0,41.0,Female,Bachelors degree,"$250,000 or more","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,19.75,Good,1.0,1.1525806188583374
0.0,60.0,Male,Masters degree,"$125,000 to $149,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,38.08333206176758,Excellent,1.0,0.7221013903617859
0.0,60.0,Male,Bachelors degree,"$125,000 to $149,999","Other, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,31.66666603088379,Good,1.0,1.3925273418426514
0.0,79.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,59.5,Excellent,1.0,1.0063737630844116
0.0,64.0,Male,Professional or Doctorate degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,22.41666603088379,Good,1.0,0.8049858808517456
0.0,51.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,34.08333206176758,Excellent,1.0,0.9334399104118348
0.0,58.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$20,000 to $24,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,41.0,Good,1.0,0.8633329272270203
0.0,28.0,Male,Bachelors degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,0.6666666865348816,Good,0.0,1.0528478622436523
0.0,53.0,Female,"Some college, no degree","$100,000 to $124,999","2+ Races, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,32.25,Excellent,1.0,0.4304791986942291
0.0,50.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$20,000 to $24,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,9.416666984558104,Excellent,0.0,1.0497947931289673
0.0,50.0,Male,Masters degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,23.58333396911621,Excellent,1.0,0.8465977907180786
0.0,25.0,Female,Bachelors degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,3.75,Fair,1.0,0.1504471153020858
0.0,25.0,Female,"Some college, no degree","$85,000 to $99,999","2+ Races, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,10.083333015441896,Excellent,1.0,0.5271589159965515
0.0,20.0,Female,"Some college, no degree","$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,2.5833332538604736,Excellent,1.0,1.186503291130066
0.0,66.0,Female,Bachelors degree,"$60,000 to $74,999","Black, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,43.16666793823242,Good,1.0,1.0242396593093872
0.0,66.0,Female,Associate degree,"$75,000 to $84,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,48.75,Excellent,1.0,1.0707138776779177
1.0,40.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$85,000 to $99,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,3.6666667461395264,Excellent,1.0,1.4739418029785156
